"Item_Identifier","Item_Weight","Item_Fat_Content","Item_Visibility","Item_Type","Item_MRP","Outlet_Identifier","Outlet_Establishment_Year","Outlet_Size","Outlet_Location_Type","Outlet_Type","Item_Outlet_Sales","Item_Id_Category","Outlet_Age","Item_MRP_clusters","sommes_num","Qty_Vente","MrpParUnite","Visi_plus_MRP","Visi_fois_MRP","MRP_plus_Weight","MRP_fois_Weight","Outlet_Ranking","Sum_of_ordinals","ItemAvgMRPmap","produit_num"
"1","FDA15",9.3,"Low Fat",0.016047301,"Dairy",249.8092,"OUT049","1999","Medium","Tier 1","Supermarket Type1",3735.138,"FD",22,"2",259.125247301,14.9519633384199,124.9046,249.825247301,4.0087634249692,259.1092,2323.22556,10,7280.87911586669,26.8325304659498,2.42768392505391e+27
"2","DRC01",5.92,"Regular",0.019278216,"Soft Drinks",48.2692,"OUT018","2009","Medium","Tier 3","Supermarket Type2",443.4228,"DR",12,"4",54.208478216,9.18645430212226,24.1346,48.288478216,0.9305440637472,54.1892,285.753664,4,1000.37610226859,8.27557807807808,5502271593138501632
"3","FDN15",17.5,"Low Fat",0.016760075,"Meat",141.618,"OUT049","1999","Medium","Tier 1","Supermarket Type1",2097.27,"FD",22,"3",159.134760075,14.809346269542,70.809,141.634760075,2.37352830135,159.118,2478.315,10,5342.40921618339,8.00502857142857,9.31551348812968e+25
"4","FDX07",19.2,"Regular",0.022929863,"Fruits and Vegetables",182.095,"OUT010","1998","Medium","Tier 3","Grocery Store",732.38,"FD",23,"3",201.317929863,4.02196655591861,91.0475,182.117929863,4.175413402985,201.295,3496.224,1,5158.5608527805,9.54950810185185,2.22111073277295e+25
"5","NCD19",8.93,"Non Edible",0.0146697428333333,"Household",53.8614,"OUT013","1987","High","Tier 3","Supermarket Type1",994.7052,"NC",34,"4",62.8060697428333,18.4678675266517,53.8614,53.8760697428333,0.790132886643298,62.7914,480.982302,2,1838.16218218813,6.14349384098544,5.07240281096369e+20
"6","FDP36",10.395,"Regular",0.0912939022,"Baking Goods",51.4008,"OUT018","2009","Medium","Tier 3","Supermarket Type2",556.6088,"FD",12,"4",61.8870939022,10.8287964389659,25.7004,51.4920939022,4.69257960820176,61.7958,534.311316,4,1400.63926776934,4.87140933140933,1.21596858409662e+22
"7","FDO10",13.65,"Regular",0.012741089,"Snack Foods",57.6588,"OUT013","1987","High","Tier 3","Supermarket Type1",343.5528,"FD",34,"4",71.321541089,5.95837582467897,57.6588,57.671541089,0.7346359024332,71.3088,787.04262,2,1518.40731194796,4.18452747252747,2.06066906031118e+20
"8","FDP10",19,"Low Fat",0.127469857,"Snack Foods",107.7622,"OUT027","1985","Medium","Tier 3","Supermarket Type3",4022.7636,"FD",36,"1",126.889669857,37.3300062545122,53.8811,107.889669857,13.7364322240054,126.7622,2047.4818,6,6733.17354518952,5.58169473684211,3.87609792290353e+28
"9","FDH17",16.2,"Regular",0.016687114,"Frozen Foods",96.9726,"OUT045","2002","Small","Tier 2","Supermarket Type1",1076.5986,"FD",19,"1",113.189287114,11.1020906936599,32.3242,96.989287114,1.6181928310764,113.1726,1570.95612,8,3180.62668322754,5.98253360768176,4.05598354658027e+23
"10","FDU28",19.2,"Regular",0.09444959,"Frozen Foods",187.8214,"OUT017","2007","Small","Tier 2","Supermarket Type1",4710.535,"FD",14,"3",207.11584959,25.0798631039913,62.6071333333333,187.91584959,17.739654223226,207.0214,3606.17088,3,9272.40936114855,9.81673958333333,1.73696829697147e+29
"11","FDY07",11.8,"Low Fat",0.121879573333333,"Fruits and Vegetables",45.5402,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1516.0266,"FD",22,"4",57.4620795733333,33.2898537995002,22.7701,45.6620795733333,5.55042014551465,57.3402,537.37436,10,2388.29783120368,3.88852919020716,1.18316341918392e+24
"12","FDA03",18.5,"Regular",0.045463773,"Dairy",144.1102,"OUT046","1997","Small","Tier 1","Supermarket Type1",2187.153,"FD",24,"3",162.655663773,15.1769479190231,48.0367333333333,144.155663773,6.5517934197846,162.6102,2666.0387,9,5616.42090956464,7.87082162162162,1.91713500891288e+27
"13","FDX32",15.1,"Regular",0.1000135,"Fruits and Vegetables",145.4786,"OUT049","1999","Medium","Tier 1","Supermarket Type1",1589.2646,"FD",22,"3",160.6786135,10.9243875044165,72.7393,145.5786135,14.5498239611,160.5786,2196.72686,10,4570.42962931552,9.55354966887417,7.34510909618425e+27
"14","FDS46",17.6,"Regular",0.047257328,"Snack Foods",119.6782,"OUT046","1997","Small","Tier 1","Supermarket Type1",2145.2076,"FD",24,"1",137.325457328,17.9247983341995,39.8927333333333,119.725457328,5.6556719518496,137.2782,2106.33632,9,4907.15068190418,6.77148863636364,4.32505552858516e+26
"15","FDF32",16.35,"Low Fat",0.0680243,"Fruits and Vegetables",196.4426,"OUT013","1987","High","Tier 3","Supermarket Type1",1977.426,"FD",34,"3",212.8606243,10.0661770919342,196.4426,196.5106243,13.36287035518,212.7926,3211.83651,2,6299.68885195211,12.1154155623513,3.09298722202321e+28
"16","FDP49",9,"Regular",0.069088961,"Breakfast",56.3614,"OUT046","1997","Small","Tier 1","Supermarket Type1",1547.3192,"FD",24,"4",65.430488961,27.4535267044467,18.7871333333333,56.430488961,3.8939505665054,65.3614,507.2526,9,2409.05016709729,6.16855061728395,2.41323224366808e+23
"17","NCB42",11.8,"Non Edible",0.008596051,"Health and Hygiene",115.3492,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1621.8888,"NC",12,"1",127.157796051,14.0606852930059,57.6746,115.357796051,0.9915476060092,127.1492,1361.12056,4,3584.46881050482,9.85480508474576,7.86710251506474e+22
"18","FDP49",9,"Regular",0.069196376,"Breakfast",54.3614,"OUT049","1999","Medium","Tier 1","Supermarket Type1",718.3982,"FD",22,"4",63.430596376,13.215226245093,27.1807,54.430596376,3.7616118742864,63.3614,489.2526,10,1548.15349100738,6.16855061728395,4.17354633751757e+22
"19","DRI11",8.26,"Low Fat",0.034237682,"Hard Drinks",113.2834,"OUT027","1985","Medium","Tier 3","Supermarket Type3",2303.668,"DR",36,"1",121.577637682,20.335441909406,56.6417,113.317637682,3.8785610250788,121.5434,935.720884,6,3854.8379409158,13.9265617433414,1.40515640614669e+25
"20","FDU02",13.35,"Low Fat",0.10249212,"Dairy",230.5352,"OUT035","2004","Small","Tier 2","Supermarket Type1",2748.4224,"FD",17,"2",243.98769212,11.9219208172982,76.8450666666667,230.63769212,23.628041382624,243.8852,3077.64492,7,6946.78138714859,17.1728406158968,2.07124654759999e+29
"21","FDN22",18.85,"Regular",0.138190277,"Snack Foods",250.8724,"OUT013","1987","High","Tier 3","Supermarket Type1",3775.086,"FD",34,"2",269.860590277,15.0478330816782,250.8724,251.010590277,34.6681264476548,269.7224,4728.94474,2,9924.66634735878,13.3625941644562,1.24430425703466e+31
"22","FDW12",8.315,"Regular",0.035399923,"Baking Goods",144.5444,"OUT027","1985","Medium","Tier 3","Supermarket Type3",4064.0432,"FD",36,"3",152.894799923,28.1162272630417,72.2722,144.579799923,5.1168606300812,152.8594,1201.886686,6,6031.30872394487,17.43167769092,4.07557058294435e+26
"23","NCB30",14.6,"Non Edible",0.025698134,"Household",196.5084,"OUT035","2004","Small","Tier 2","Supermarket Type1",1587.2672,"NC",17,"3",211.134098134,8.07735038298617,65.5028,196.534098134,5.0498991953256,211.1084,2869.02264,7,5410.83147487071,13.550803652968,3.76252983432291e+26
"24","FDC37",15.5,"Low Fat",0.057556998,"Baking Goods",107.6938,"OUT019","1985","Small","Tier 1","Grocery Store",214.3876,"FD",36,"1",123.251356998,1.99071441438597,35.8979333333333,107.751356998,6.1985318312124,123.1938,1669.2539,5,2467.62624103993,6.9137935483871,1.06206885730548e+24
"25","FDR28",13.85,"Regular",0.025896485,"Frozen Foods",165.021,"OUT046","1997","Small","Tier 1","Supermarket Type1",4078.025,"FD",24,"3",178.896896485,24.7121578465771,55.007,165.046896485,4.273463851185,178.871,2285.54085,9,7205.50472395501,11.7897232250301,1.54561335053046e+27
"26","NCD06",13,"Non Edible",0.099887103,"Household",45.906,"OUT017","2007","Small","Tier 2","Supermarket Type1",838.908,"NC",14,"4",59.005887103,18.2744739249771,15.302,46.005887103,4.585417350318,58.906,596.778,3,1731.1699720263,3.54490598290598,2.68289481025841e+22
"27","FDV10",7.645,"Regular",0.066693437,"Snack Foods",42.3112,"OUT035","2004","Small","Tier 2","Supermarket Type1",1065.28,"FD",17,"4",50.022893437,25.1772580309705,14.1037333333333,42.377893437,2.8218793515944,49.9562,323.469124,7,1662.45343978976,5.53972531066056,3.39927339455053e+21
"28","DRJ59",11.65,"Low Fat",0.019356132,"Hard Drinks",39.1164,"OUT013","1987","High","Tier 3","Supermarket Type1",308.9312,"DR",34,"4",50.785756132,7.89774110091931,39.1164,39.135756132,0.7571422017648,50.7664,455.70606,2,1053.77706676848,3.37384453981879,18644696407434711040
"29","FDE51",5.925,"Regular",0.161466534,"Dairy",45.5086,"OUT010","1998","Medium","Tier 3","Grocery Store",178.4344,"FD",23,"4",51.595066534,3.92089407276866,22.7543,45.670066534,7.3481159091924,51.4336,269.638455,1,714.433120331911,7.44824003750586,1.18608358533414e+20
"30","FDC14",14.5,"Regular",0.072221801,"Canned",43.6454,"OUT019","1985","Small","Tier 1","Grocery Store",125.8362,"FD",36,"4",58.217621801,2.88314919785361,14.5484666666667,43.717621801,3.1521493933654,58.1454,632.8583,5,1059.19596857639,2.85140689655172,5.90846222703261e+20
"31","FDV38",19.25,"Low Fat",0.170348551,"Dairy",55.7956,"OUT010","1998","Medium","Tier 3","Grocery Store",163.7868,"FD",23,"4",75.215948551,2.93547878327323,27.8978,55.965948551,9.5046996121756,75.0456,1074.0653,1,1607.3330822062,2.83042077922078,5.27394957303567e+22
"32","NCS17",18.6,"Non Edible",0.080829372,"Health and Hygiene",96.4436,"OUT018","2009","Medium","Tier 3","Supermarket Type2",2741.7644,"NC",12,"1",115.124429372,28.428681633618,48.2218,96.524429372,7.7954756214192,115.0436,1793.85096,4,5102.06246106224,5.09508602150538,3.41427765688539e+26
"33","FDP33",18.7,"Low Fat",0.103437193555556,"Snack Foods",256.6672,"OUT018","2009","Medium","Tier 3","Supermarket Type2",3068.0064,"FD",12,"2",275.470637193556,11.9532468503962,128.3336,256.770637193556,26.5489348457626,275.3672,4799.67664,4,9158.33564598987,13.6586737967914,1.26644141072752e+30
"34","FDO23",17.85,"Low Fat",0.146540746571429,"Breads",93.1436,"OUT045","2002","Small","Tier 2","Supermarket Type1",2174.5028,"FD",19,"1",111.140140746571,23.3457027643338,31.0478666666667,93.2901407465714,13.6493326823506,110.9936,1662.61326,8,4387.33527742594,5.2641917211329,1.6573620072676e+27
"35","DRH01",17.5,"Low Fat",0.097904029,"Soft Drinks",174.8738,"OUT046","1997","Small","Tier 1","Supermarket Type1",2085.2856,"DR",24,"3",192.471704029,11.9245169945412,58.2912666666667,174.971704029,17.1208495865402,192.3738,3060.2915,9,6046.51386987125,9.92358222222222,5.76061397485466e+28
"36","NCX29",10,"Non Edible",0.089291137,"Health and Hygiene",146.7102,"OUT049","1999","Medium","Tier 1","Supermarket Type1",3791.0652,"NC",22,"3",156.799491137,25.8405018873943,73.3551,146.799491137,13.0999205674974,156.7102,1467.102,10,6040.55359837289,14.58702,1.13970280745465e+28
"37","FDV20",20.2,"Regular",0.059511812,"Fruits and Vegetables",128.0678,"OUT027","1985","Medium","Tier 3","Supermarket Type3",2797.6916,"FD",36,"1",148.327311812,21.8453943926576,64.0339,128.127311812,7.6215468368536,148.2678,2586.96956,6,6120.67338707991,6.30929702970297,6.80026362099097e+27
"38","DRZ11",8.85,"Regular",0.113123893,"Soft Drinks",122.5388,"OUT018","2009","Medium","Tier 3","Supermarket Type2",1609.9044,"DR",12,"1",131.501923893,13.1379155010495,61.2694,122.651923893,13.8620660995484,131.3888,1084.46838,4,3329.65100362565,13.9083389830508,1.01023712520485e+26
"39","FDX10",6.385,"Regular",0.123111453,"Snack Foods",36.9874,"OUT027","1985","Medium","Tier 3","Supermarket Type3",388.1614,"FD",36,"4",43.495511453,10.4944224249339,18.4937,37.110511453,4.5535725566922,43.3724,236.164549,6,880.635756421031,5.63798137997042,9.04727319701638e+20
"40","FDB34",15.25,"Low Fat",0.026480954,"Snack Foods",87.6198,"OUT027","1985","Medium","Tier 3","Supermarket Type3",2180.495,"FD",36,"1",102.896280954,24.8858705452421,43.8099,87.646280954,2.3202558932892,102.8698,1336.20195,6,4047.70193480303,5.65594316939891,7.38089590945116e+24
"41","FDU02",13.35,"Low Fat",0.102511504,"Dairy",230.6352,"OUT046","1997","Small","Tier 1","Supermarket Type1",3435.528,"FD",24,"2",244.087711504,14.8959395616974,76.8784,230.737711504,23.6427612273408,243.9852,3078.97992,9,7649.64439538344,17.1728406158968,6.4889227626995e+29
"42","FDK43",9.8,"Low Fat",0.02681843,"Meat",126.002,"OUT013","1987","High","Tier 3","Supermarket Type1",2150.534,"FD",34,"1",135.82881843,17.0674592466786,126.002,126.02881843,3.37917581686,135.802,1234.8196,2,4113.38032939754,12.9627891156463,1.39120246756706e+25
"43","FDA46",13.6,"Low Fat",0.117818348,"Snack Foods",192.9136,"OUT049","1999","Medium","Tier 1","Supermarket Type1",2527.3768,"FD",22,"3",206.631418348,13.1010815204319,96.4568,193.031418348,22.7287616587328,206.5136,2623.62496,10,6153.41640610396,14.3065555555556,2.06436352689459e+29
"44","FDC02",21.35,"Low Fat",0.069102831,"Canned",259.9278,"OUT018","2009","Medium","Tier 3","Supermarket Type2",6768.5228,"FD",12,"2",281.346902831,26.0400111107777,129.9639,259.996902831,17.9617468356018,281.2778,5549.45853,4,13638.8099447122,12.1491033047099,4.52799702568538e+30
"45","FDL50",12.15,"Regular",0.042277867,"Canned",126.5046,"OUT013","1987","High","Tier 3","Supermarket Type1",373.5138,"FD",34,"1",138.696877867,2.95257089465521,126.5046,126.546877867,5.3483446536882,138.6546,1537.03089,2,2638.65139310039,10.2907960023516,2.09738157522063e+24
"46","FDM39",6.42,"Low Fat",0.089498926,"Dairy",178.1002,"OUT010","1998","Medium","Tier 3","Grocery Store",358.2004,"FD",23,"3",184.609698926,2.01122963365566,89.0501,178.189698926,15.9397766203852,184.5202,1143.403284,1,2372.61816906296,27.803769470405,4.12156226792119e+24
"47","NCP05",19.6,"Non Edible",0.0281354306666667,"Health and Hygiene",153.3024,"OUT045","2002","Small","Tier 2","Supermarket Type1",2428.8384,"NC",19,"3",172.930535430667,15.8434466779385,51.1008,153.330535430667,4.31322904623361,172.9024,3004.72704,8,6232.09651188791,7.72858049886621,7.82725824523716e+26
"48","FDV49",10,"Low Fat",0.025879577,"Canned",265.2226,"OUT045","2002","Small","Tier 2","Supermarket Type1",5815.0972,"FD",19,"2",275.248479577,21.925345728456,88.4075333333333,265.248479577,6.8638486988402,275.2226,2652.226,8,9720.77264183863,26.3944822222222,2.86376737194738e+28
"49","FDL12",15.85,"Regular",0.121632721,"Baking Goods",60.622,"OUT046","1997","Small","Tier 1","Supermarket Type1",2576.646,"FD",24,"4",76.593632721,42.5034805846063,20.2073333333333,60.743632721,7.373618812462,76.472,960.8587,9,3957.89154224225,3.78624605678233,6.4981505763638e+25
"50","FDS02",10.195,"Regular",0.146067134666667,"Dairy",196.8794,"OUT019","1985","Small","Tier 1","Grocery Store",780.3176,"FD",36,"3",207.220467134667,3.96342938875271,65.6264666666667,197.025467134667,28.7576098328926,207.0744,2007.185483,5,3762.22161186491,19.1751359598932,5.80689156808073e+27
"51","NCL17",7.39,"Non Edible",0.067779712,"Health and Hygiene",143.8812,"OUT046","1997","Small","Tier 1","Supermarket Type1",3134.5864,"NC",24,"3",151.338979712,21.7859345070795,47.9604,143.948979712,9.7522262982144,151.2712,1063.282068,9,4925.22383972497,19.2126116373478,6.15850340267992e+26
"52","FDM40",10.195,"Low Fat",0.159803853,"Frozen Foods",141.5154,"OUT013","1987","High","Tier 3","Supermarket Type1",850.8924,"FD",34,"3",151.870203853,6.01271946374741,141.5154,141.675203853,22.6147061788362,151.7104,1442.749503,2,3110.89474433592,13.9680518772819,8.86211843437117e+26
"53","FDR13",9.895,"Regular",0.028696932,"Canned",117.0492,"OUT013","1987","High","Tier 3","Supermarket Type1",810.9444,"FD",34,"1",126.972896932,6.92823530617894,117.0492,117.077896932,3.3589529330544,126.9442,1158.201834,2,2642.65816610937,11.7361495704901,9.53650286620792e+23
"54","FDA43",10.895,"Low Fat",0.065041581,"Fruits and Vegetables",196.3794,"OUT017","2007","Small","Tier 2","Supermarket Type1",3121.2704,"FD",14,"3",207.339441581,15.8940825768894,65.4598,196.444441581,12.7728266518314,207.2744,2139.553563,3,6205.01706657772,17.9320238641579,3.78429869413709e+27
"55","NCP18",12.15,"Non Edible",0.028760013,"Household",151.4708,"OUT017","2007","Small","Tier 2","Supermarket Type1",4815.0656,"NC",14,"3",163.649560013,31.788738159434,50.4902666666667,151.499560013,4.3563021771204,163.6208,1840.37022,3,7417.01880121317,12.3890004572474,2.18498633097768e+26
"56","FDK21",7.905,"Low Fat",0.010053105,"Snack Foods",249.0408,"OUT018","2009","Medium","Tier 3","Supermarket Type2",6258.52,"FD",12,"2",256.955853105,25.1305007051054,124.5204,249.050853105,2.503633311684,256.9458,1968.667524,4,9427.24494023181,31.5969808138309,2.82517008985877e+26
"57","NCX54",9.195,"Non Edible",0.048157338,"Household",106.1622,"OUT045","2002","Small","Tier 2","Supermarket Type1",2117.244,"NC",19,"1",115.405357338,19.9434827085347,35.3874,106.210357338,5.1124889482236,115.3572,976.161429,8,3650.91303673167,11.5081843997342,1.29563506885587e+25
"58","DRK35",8.365,"Low Fat",0.071958197,"Hard Drinks",38.0506,"OUT049","1999","Medium","Tier 1","Supermarket Type1",796.9626,"DR",22,"4",46.487558197,20.9448103315059,19.0253,38.122558197,2.7380525707682,46.4156,318.293269,10,1386.51619500818,4.53683203825463,3.66469668793359e+21
"59","FDY21",15.1,"Low Fat",0.173481304,"Snack Foods",194.511,"OUT046","1997","Small","Tier 1","Supermarket Type1",4910.275,"FD",24,"3",209.784481304,25.2442021273861,64.837,194.684481304,33.744021922344,209.611,2937.1161,9,8854.97381695613,12.9934437086093,3.45488705125978e+30
"60","FDI26",5.94,"Low Fat",0.061082177,"Canned",180.0344,"OUT019","1985","Small","Tier 1","Grocery Store",892.172,"FD",36,"3",186.035482177,4.95556404775976,60.0114666666667,180.095482177,10.9968930868888,185.9744,1069.404336,5,2828.0450166407,30.0469435091657,4.22946790422595e+25
"61","FDM20",10,"Low Fat",0.045614834125,"Fruits and Vegetables",246.9144,"OUT018","2009","Medium","Tier 3","Supermarket Type2",3185.1872,"FD",12,"2",256.960014834125,12.8999653321151,123.4572,246.960014834125,11.2629593990739,256.9144,2469.144,4,6850.24753240894,24.50144,9.56299120319191e+27
"62","FDV27",7.97,"Regular",0.040071131,"Meat",87.3514,"OUT045","2002","Small","Tier 2","Supermarket Type1",1062.6168,"FD",19,"1",95.361471131,12.1648513933377,29.1171333333333,87.391471131,3.5002693924334,95.3214,696.190658,8,2220.35496355717,11.0902007528231,1.94619189350761e+23
"63","FDF09",6.215,"Low Fat",0.012090074,"Fruits and Vegetables",38.2848,"OUT027","1985","Medium","Tier 3","Supermarket Type3",484.7024,"FD",36,"4",44.511890074,12.6604396522902,19.1424,38.296890074,0.4628660650752,44.4998,237.940032,6,981.030837823275,6.02061678734245,1685271650771392512
"64","FDY40",15.5,"Regular",0.15028599,"Frozen Foods",51.0692,"OUT019","1985","Small","Tier 1","Grocery Store",147.8076,"FD",36,"4",66.71948599,2.89426112020553,17.0230666666667,51.21948599,7.674985280508,66.5692,791.5726,5,1282.17988987238,3.18317419354839,3.20675233035351e+22
"65","FDY45",17.5,"Low Fat",0.026015519,"Snack Foods",255.8356,"OUT027","1985","Medium","Tier 3","Supermarket Type3",2543.356,"FD",36,"2",273.361615519,9.9413685976463,127.9178,255.861615519,6.6556959126764,273.3356,4477.123,6,8306.89559816882,14.5302882539683,4.46444695382775e+28
"66","FDC46",17.7,"Low Fat",0.11665099875,"Snack Foods",185.4266,"OUT010","1998","Medium","Tier 3","Grocery Store",184.4266,"FD",23,"3",203.24325099875,0.994607030490771,92.7133,185.54325099875,21.6301980848168,203.1266,3282.05082,1,4421.85325178818,10.4013772755807,1.37782985526142e+26
"67","FDH19",19.35,"Low Fat",0.033082215,"Meat",172.5738,"OUT035","2004","Small","Tier 2","Supermarket Type1",4865.6664,"FD",17,"3",191.956882215,28.1946993112512,57.5246,172.606882215,5.709123554967,191.9238,3339.30303,7,9095.86552258647,8.98228079242033,1.27498690719552e+28
"68","FDZ03",13.65,"Regular",0.078946455,"Dairy",186.024,"OUT045","2002","Small","Tier 2","Supermarket Type1",1118.544,"FD",19,"3",199.752946455,6.01290156108889,62.008,186.102946455,14.68593534492,199.674,2539.2276,8,4575.56784183676,13.6665934065934,3.25418106385723e+27
